,face,gender,handcode_gender,paths
133,"tensor([[[134, 112,  76],
         [130, 109,  73],
         [136, 114,  79],
         ...,
         [169, 140,  98],
         [168, 139,  97],
         [168, 139,  97]],

        [[115,  96,  65],
         [112,  94,  63],
         [112,  95,  64],
         ...,
         [171, 142, 101],
         [170, 142, 100],
         [169, 140,  99]],

        [[111,  97,  71],
         [110,  96,  70],
         [ 98,  84,  61],
         ...,
         [172, 144, 105],
         [171, 143, 104],
         [169, 140, 101]],

        ...,

        [[126, 102,  88],
         [110,  82,  68],
         [137, 110,  93],
         ...,
         [194, 213, 220],
         [194, 213, 220],
         [194, 213, 220]],

        [[163, 145, 133],
         [123, 103,  90],
         [119, 100,  86],
         ...,
         [195, 214, 221],
         [195, 214, 221],
         [195, 214, 221]],

        [[191, 178, 169],
         [161, 147, 138],
         [108,  93,  83],
         ...,
         [195, 214, 221],
         [195, 214, 221],
         [195, 214, 221]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\carl_valentin\pic_2.jpeg
134,"tensor([[[ 18,  28,  22],
         [ 20,  29,  24],
         [ 22,  31,  26],
         ...,
         [200, 190, 172],
         [200, 191, 172],
         [192, 184, 165]],

        [[ 19,  29,  21],
         [ 21,  31,  23],
         [ 18,  28,  20],
         ...,
         [201, 187, 168],
         [208, 195, 176],
         [206, 193, 175]],

        [[ 15,  24,  16],
         [ 17,  26,  18],
         [ 19,  29,  21],
         ...,
         [197, 180, 160],
         [198, 182, 162],
         [202, 188, 169]],

        ...,

        [[ 14,  13,   8],
         [ 14,  13,   8],
         [  9,   8,   3],
         ...,
         [164, 133, 111],
         [166, 133, 110],
         [152, 125, 108]],

        [[ 10,   9,   4],
         [ 10,   9,   4],
         [ 12,  11,   6],
         ...,
         [171, 137, 116],
         [168, 133, 111],
         [152, 125, 106]],

        [[ 10,   9,   4],
         [ 11,  10,   5],
         [ 11,  10,   5],
         ...,
         [173, 137, 116],
         [168, 133, 112],
         [159, 129, 110]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\sikandarsiddique_\pic_115.jpeg
135,"tensor([[[100, 144, 189],
         [101, 150, 191],
         [109, 156, 198],
         ...,
         [ 98, 140, 180],
         [ 88, 130, 170],
         [ 96, 139, 181]],

        [[104, 148, 193],
         [104, 151, 193],
         [112, 159, 201],
         ...,
         [ 99, 142, 183],
         [ 91, 135, 176],
         [ 94, 136, 179]],

        [[108, 152, 197],
         [107, 154, 196],
         [116, 161, 203],
         ...,
         [ 78, 121, 163],
         [ 89, 134, 176],
         [ 95, 136, 180]],

        ...,

        [[211, 187, 140],
         [221, 197, 153],
         [219, 196, 154],
         ...,
         [206, 196, 158],
         [216, 206, 170],
         [213, 204, 168]],

        [[226, 205, 162],
         [223, 202, 157],
         [211, 190, 143],
         ...,
         [204, 195, 156],
         [210, 201, 162],
         [214, 205, 169]],

        [[206, 183, 139],
         [223, 201, 154],
         [213, 191, 142],
         ...,
         [207, 198, 159],
         [214, 204, 163],
         [210, 202, 160]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\ullatornaes\pic_86.jpeg
136,"tensor([[[ 95,  58,  39],
         [ 96,  59,  40],
         [ 99,  62,  41],
         ...,
         [ 69,  31,  10],
         [ 72,  34,  13],
         [ 75,  36,  15]],

        [[ 91,  54,  36],
         [ 95,  58,  40],
         [100,  62,  43],
         ...,
         [ 71,  31,  13],
         [ 72,  32,  13],
         [ 73,  33,  14]],

        [[ 94,  59,  39],
         [ 98,  62,  43],
         [ 98,  62,  43],
         ...,
         [ 71,  29,  11],
         [ 70,  29,  10],
         [ 69,  27,   9]],

        ...,

        [[103,  50,  31],
         [ 97,  46,  29],
         [ 86,  38,  26],
         ...,
         [ 93,  51,  33],
         [107,  61,  40],
         [127,  78,  55]],

        [[111,  65,  60],
         [ 92,  47,  38],
         [ 76,  33,  20],
         ...,
         [112,  74,  58],
         [116,  75,  58],
         [127,  82,  61]],

        [[105,  61,  53],
         [ 82,  38,  28],
         [ 64,  22,  10],
         ...,
         [101,  66,  52],
         [116,  78,  62],
         [123,  83,  65]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\samiranawa\pic_17.jpeg
137,"tensor([[[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        ...,

        [[186, 163, 132],
         [188, 165, 134],
         [185, 162, 131],
         ...,
         [239, 233, 221],
         [183, 177, 163],
         [159, 153, 138]],

        [[183, 160, 129],
         [188, 165, 134],
         [189, 166, 135],
         ...,
         [238, 232, 218],
         [166, 160, 146],
         [153, 145, 131]],

        [[198, 175, 144],
         [198, 175, 144],
         [197, 174, 143],
         ...,
         [236, 228, 215],
         [162, 154, 141],
         [155, 148, 131]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\carl_valentin\pic_27.jpeg
138,"tensor([[[138, 141, 129],
         [137, 141, 124],
         [133, 138, 120],
         ...,
         [173, 165, 119],
         [117, 114,  68],
         [ 66,  67,  22]],

        [[139, 143, 128],
         [139, 143, 126],
         [135, 139, 121],
         ...,
         [203, 193, 148],
         [135, 131,  84],
         [ 71,  72,  25]],

        [[140, 144, 128],
         [142, 146, 129],
         [137, 142, 123],
         ...,
         [219, 207, 162],
         [152, 145,  98],
         [ 85,  83,  35]],

        ...,

        [[192, 158, 179],
         [196, 159, 180],
         [200, 161, 181],
         ...,
         [ 94, 110,  53],
         [101, 119,  59],
         [ 91, 109,  49]],

        [[164,  90, 124],
         [162,  84, 118],
         [164,  81, 115],
         ...,
         [100, 113,  58],
         [108, 122,  65],
         [102, 116,  58]],

        [[172,  55, 103],
         [169,  49,  96],
         [166,  45,  91],
         ...,
         [ 99, 108,  56],
         [104, 114,  61],
         [101, 111,  57]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\rasmushelvegpetersen\pic_17.jpeg
139,"tensor([[[236, 209, 198],
         [237, 211, 198],
         [236, 210, 195],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        [[235, 208, 197],
         [235, 209, 196],
         [236, 210, 195],
         ...,
         [208, 183, 171],
         [162, 142, 132],
         [119, 105,  97]],

        [[232, 205, 194],
         [233, 207, 194],
         [234, 208, 193],
         ...,
         [215, 189, 176],
         [214, 188, 175],
         [214, 188, 175]],

        ...,

        [[183, 165, 142],
         [177, 160, 134],
         [178, 160, 136],
         ...,
         [168, 149, 132],
         [171, 152, 135],
         [172, 155, 137]],

        [[179, 161, 138],
         [179, 162, 136],
         [177, 159, 135],
         ...,
         [169, 150, 133],
         [171, 152, 136],
         [170, 153, 137]],

        [[185, 167, 143],
         [175, 158, 132],
         [177, 159, 135],
         ...,
         [169, 150, 133],
         [172, 154, 137],
         [169, 152, 136]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\jakobellemann\pic_25.jpeg
140,"tensor([[[152, 131, 126],
         [175, 155, 149],
         [172, 153, 147],
         ...,
         [179, 216, 244],
         [178, 215, 242],
         [178, 215, 242]],

        [[153, 132, 127],
         [175, 154, 149],
         [171, 151, 146],
         ...,
         [180, 216, 245],
         [180, 215, 243],
         [179, 216, 243]],

        [[150, 130, 123],
         [162, 142, 136],
         [163, 142, 137],
         ...,
         [182, 215, 245],
         [181, 215, 243],
         [180, 215, 243]],

        ...,

        [[248, 202, 177],
         [248, 200, 174],
         [246, 198, 172],
         ...,
         [ 87, 148, 193],
         [ 88, 149, 195],
         [ 88, 149, 196]],

        [[251, 206, 182],
         [251, 205, 180],
         [250, 204, 179],
         ...,
         [ 86, 147, 193],
         [ 86, 147, 194],
         [ 87, 148, 195]],

        [[253, 208, 185],
         [253, 208, 185],
         [252, 208, 185],
         ...,
         [ 88, 147, 195],
         [ 89, 148, 196],
         [ 90, 148, 196]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\ullatornaes\pic_59.jpeg
141,"tensor([[[227, 227, 227],
         [188, 188, 188],
         [130, 130, 130],
         ...,
         [ 65,  65,  65],
         [ 75,  75,  75],
         [ 55,  55,  55]],

        [[207, 207, 207],
         [154, 154, 154],
         [ 92,  92,  92],
         ...,
         [ 99,  99,  99],
         [103, 103, 103],
         [ 54,  54,  54]],

        [[190, 190, 190],
         [127, 127, 127],
         [ 70,  70,  70],
         ...,
         [144, 144, 144],
         [135, 135, 135],
         [ 69,  69,  69]],

        ...,

        [[229, 229, 229],
         [209, 209, 209],
         [158, 158, 158],
         ...,
         [251, 251, 251],
         [252, 252, 252],
         [253, 253, 253]],

        [[232, 232, 232],
         [203, 203, 203],
         [162, 162, 162],
         ...,
         [248, 248, 248],
         [250, 250, 250],
         [251, 251, 251]],

        [[229, 229, 229],
         [185, 185, 185],
         [169, 169, 169],
         ...,
         [248, 248, 248],
         [249, 249, 249],
         [250, 250, 250]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\tommyahlers\pic_35.jpeg
142,"tensor([[[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [163, 180, 198],
         [162, 181, 199],
         [163, 185, 202]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [164, 176, 188],
         [166, 182, 195],
         [168, 185, 201]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [154, 157, 164],
         [166, 174, 182],
         [174, 184, 193]],

        ...,

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [108,  94,  94],
         [143, 129, 129],
         [144, 130, 130]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [144, 130, 129],
         [139, 125, 123],
         [164, 150, 149]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [115, 101,  98],
         [116, 101,  98],
         [132, 118, 115]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\christian.rabjerg\pic_16.jpeg
143,"tensor([[[ 82, 164, 238],
         [ 81, 163, 237],
         [ 81, 163, 237],
         ...,
         [130, 197, 249],
         [132, 199, 252],
         [134, 202, 250]],

        [[ 85, 167, 240],
         [ 86, 168, 241],
         [ 81, 163, 236],
         ...,
         [142, 210, 255],
         [137, 205, 255],
         [139, 207, 252]],

        [[ 88, 171, 241],
         [ 88, 171, 241],
         [ 84, 167, 237],
         ...,
         [140, 209, 250],
         [138, 206, 255],
         [137, 205, 250]],

        ...,

        [[201, 198, 183],
         [204, 199, 183],
         [220, 216, 202],
         ...,
         [179, 164, 135],
         [187, 172, 143],
         [191, 174, 146]],

        [[207, 203, 183],
         [219, 213, 191],
         [214, 208, 192],
         ...,
         [180, 165, 136],
         [200, 185, 156],
         [167, 150, 122]],

        [[207, 201, 178],
         [214, 207, 181],
         [224, 216, 199],
         ...,
         [189, 178, 148],
         [147, 136, 106],
         [170, 153, 125]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\sophieloehde\pic_4.jpeg
144,"tensor([[[131,  81,  62],
         [149,  98,  74],
         [145,  91,  62],
         ...,
         [219, 192, 162],
         [217, 190, 160],
         [217, 190, 160]],

        [[129,  81,  61],
         [137,  90,  67],
         [131,  85,  57],
         ...,
         [218, 191, 161],
         [220, 193, 163],
         [220, 193, 163]],

        [[139,  90,  70],
         [144,  96,  72],
         [136,  87,  60],
         ...,
         [219, 192, 162],
         [219, 192, 162],
         [220, 193, 163]],

        ...,

        [[183,  96,  70],
         [177,  87,  62],
         [170,  78,  55],
         ...,
         [200, 174, 137],
         [204, 178, 141],
         [204, 178, 141]],

        [[170,  87,  62],
         [175,  89,  65],
         [168,  79,  55],
         ...,
         [202, 176, 139],
         [203, 177, 140],
         [202, 176, 139]],

        [[164,  86,  60],
         [165,  82,  58],
         [160,  73,  50],
         ...,
         [203, 177, 141],
         [200, 174, 138],
         [199, 173, 137]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\mortenoestergaard\pic_33.jpeg
145,"tensor([[[131, 152, 155],
         [153, 172, 176],
         [159, 177, 181],
         ...,
         [155, 168, 176],
         [146, 159, 165],
         [146, 160, 163]],

        [[171, 192, 195],
         [186, 205, 209],
         [185, 203, 207],
         ...,
         [156, 169, 177],
         [125, 138, 144],
         [130, 144, 147]],

        [[136, 154, 158],
         [152, 170, 174],
         [147, 165, 169],
         ...,
         [161, 179, 181],
         [137, 154, 161],
         [134, 147, 155]],

        ...,

        [[251, 209,  68],
         [190,  50, 101],
         [195,  53,  80],
         ...,
         [119, 117, 118],
         [124, 123, 129],
         [ 42,  42,  54]],

        [[211,  33, 148],
         [230,  32, 150],
         [184,  57,  77],
         ...,
         [122, 121, 126],
         [130, 130, 137],
         [ 46,  48,  62]],

        [[250, 164,  94],
         [221,  32, 178],
         [185,  61,  61],
         ...,
         [105, 108, 112],
         [113, 116, 130],
         [ 57,  60,  85]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\idaauken\pic_5.jpeg
146,"tensor([[[202, 187, 174],
         [206, 190, 177],
         [205, 189, 174],
         ...,
         [148, 136, 122],
         [148, 136, 122],
         [150, 138, 124]],

        [[202, 186, 171],
         [205, 189, 173],
         [204, 188, 172],
         ...,
         [148, 136, 122],
         [145, 133, 119],
         [149, 137, 123]],

        [[201, 184, 167],
         [203, 186, 168],
         [201, 184, 166],
         ...,
         [149, 137, 122],
         [145, 133, 117],
         [147, 135, 119]],

        ...,

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [ 46,  32,  23],
         [ 46,  32,  23],
         [ 46,  32,  23]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [ 45,  31,  22],
         [ 45,  31,  22],
         [ 45,  31,  22]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [ 43,  29,  20],
         [ 41,  27,  18],
         [ 44,  30,  21]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\simonkollerup\pic_36.jpeg
147,"tensor([[[  5, 105, 186],
         [  8, 104, 186],
         [  9, 104, 185],
         ...,
         [ 80, 108, 142],
         [ 95, 122, 157],
         [105, 132, 167]],

        [[  6, 105, 185],
         [  8, 104, 185],
         [ 10, 104, 185],
         ...,
         [ 81, 104, 143],
         [ 91, 115, 154],
         [101, 125, 165]],

        [[  7, 105, 184],
         [  9, 104, 184],
         [ 11, 104, 184],
         ...,
         [ 74,  95, 136],
         [ 85, 107, 149],
         [100, 123, 165]],

        ...,

        [[ 42, 117, 154],
         [ 41, 116, 153],
         [ 40, 115, 152],
         ...,
         [146, 131, 159],
         [144, 129, 158],
         [131, 117, 146]],

        [[ 41, 115, 153],
         [ 39, 113, 152],
         [ 38, 112, 151],
         ...,
         [139, 126, 156],
         [128, 114, 145],
         [124, 111, 143]],

        [[ 39, 113, 152],
         [ 37, 111, 150],
         [ 35, 109, 148],
         ...,
         [134, 122, 154],
         [113, 100, 132],
         [116, 104, 138]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\susannezimmerfriegronne\pic_12.jpeg
148,"tensor([[[  8,   7, 139],
         [  7,   5, 131],
         [ 17,  12, 128],
         ...,
         [  0,   7, 140],
         [  0,   7, 140],
         [  0,   7, 140]],

        [[ 14,  13, 144],
         [ 12,  10, 133],
         [ 22,  16, 125],
         ...,
         [  0,   7, 140],
         [  0,   7, 140],
         [  0,   7, 140]],

        [[ 19,  19, 146],
         [ 18,  15, 133],
         [ 23,  17, 121],
         ...,
         [  1,   7, 143],
         [  1,   7, 143],
         [  1,   7, 142]],

        ...,

        [[ 42,  34,  29],
         [ 37,  28,  23],
         [ 31,  22,  17],
         ...,
         [  1,   8, 177],
         [  1,   8, 177],
         [  1,   8, 177]],

        [[ 39,  33,  29],
         [ 34,  26,  23],
         [ 34,  26,  22],
         ...,
         [  1,   8, 177],
         [  1,   8, 177],
         [  1,   8, 177]],

        [[ 36,  31,  28],
         [ 31,  25,  22],
         [ 32,  26,  23],
         ...,
         [  1,   8, 177],
         [  1,   8, 177],
         [  1,   8, 177]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\bbbrandenborg\pic_46.jpeg
149,"tensor([[[222, 214, 201],
         [224, 216, 203],
         [232, 224, 211],
         ...,
         [227, 218, 201],
         [224, 215, 198],
         [211, 202, 185]],

        [[230, 222, 209],
         [224, 216, 203],
         [219, 211, 198],
         ...,
         [221, 212, 195],
         [213, 204, 187],
         [217, 208, 191]],

        [[222, 214, 201],
         [227, 219, 206],
         [229, 221, 208],
         ...,
         [209, 200, 183],
         [211, 202, 185],
         [223, 214, 197]],

        ...,

        [[221, 213, 202],
         [234, 226, 215],
         [219, 211, 200],
         ...,
         [246, 239, 221],
         [240, 233, 215],
         [222, 215, 197]],

        [[224, 216, 204],
         [221, 213, 202],
         [220, 212, 201],
         ...,
         [228, 219, 202],
         [214, 205, 188],
         [208, 199, 182]],

        [[234, 228, 212],
         [221, 213, 202],
         [233, 224, 214],
         ...,
         [224, 215, 198],
         [225, 216, 199],
         [233, 224, 207]]], dtype=torch.uint8)",Female,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\peter_skaarup\pic_86.jpeg
150,"tensor([[[ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0],
         ...,
         [ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0]],

        [[ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0],
         ...,
         [ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0]],

        [[ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0],
         ...,
         [ 0,  0,  0],
         [ 0,  0,  0],
         [ 0,  0,  0]],

        ...,

        [[69, 64, 60],
         [59, 54, 50],
         [70, 65, 61],
         ...,
         [71, 66, 60],
         [62, 57, 51],
         [61, 56, 50]],

        [[72, 67, 63],
         [68, 63, 59],
         [71, 66, 62],
         ...,
         [60, 55, 49],
         [67, 62, 56],
         [74, 70, 64]],

        [[66, 61, 57],
         [60, 55, 51],
         [65, 60, 56],
         ...,
         [74, 69, 63],
         [68, 63, 57],
         [56, 53, 46]]], dtype=torch.uint8)",Male,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\pernille_skipper\pic_43.jpeg
151,"tensor([[[197, 198, 169],
         [205, 205, 176],
         [210, 210, 181],
         ...,
         [180, 163, 155],
         [199, 184, 173],
         [203, 190, 177]],

        [[195, 198, 171],
         [200, 203, 176],
         [203, 206, 179],
         ...,
         [104,  90,  81],
         [122, 108,  99],
         [138, 125, 113]],

        [[195, 200, 176],
         [198, 203, 178],
         [200, 204, 180],
         ...,
         [105,  91,  82],
         [ 94,  81,  72],
         [ 70,  58,  48]],

        ...,

        [[101,  71,  65],
         [ 96,  62,  57],
         [111,  73,  70],
         ...,
         [ 64,  54,  63],
         [ 67,  57,  64],
         [ 79,  68,  71]],

        [[ 97,  67,  61],
         [ 98,  63,  59],
         [107,  69,  66],
         ...,
         [ 72,  60,  69],
         [ 74,  63,  70],
         [ 78,  67,  70]],

        [[ 95,  64,  58],
         [ 97,  62,  58],
         [101,  62,  60],
         ...,
         [ 78,  67,  74],
         [ 77,  66,  71],
         [ 76,  66,  67]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\maimercado_dk\pic_31.jpeg
152,"tensor([[[230, 252, 249],
         [223, 250, 251],
         [223, 253, 255],
         ...,
         [127, 215, 223],
         [140, 228, 235],
         [163, 248, 253]],

        [[233, 253, 252],
         [229, 252, 254],
         [220, 248, 254],
         ...,
         [138, 219, 231],
         [130, 211, 222],
         [166, 245, 255]],

        [[233, 252, 252],
         [232, 253, 255],
         [225, 248, 255],
         ...,
         [129, 201, 218],
         [127, 199, 214],
         [167, 239, 251]],

        ...,

        [[125, 119, 191],
         [120, 113, 176],
         [138, 130, 183],
         ...,
         [105,  80,  76],
         [ 92,  69,  73],
         [120,  97, 114]],

        [[123, 122, 190],
         [118, 115, 180],
         [136, 128, 187],
         ...,
         [ 97,  72,  70],
         [ 99,  76,  82],
         [134, 110, 129]],

        [[123, 123, 191],
         [120, 118, 184],
         [131, 124, 185],
         ...,
         [ 84,  60,  59],
         [106,  85,  92],
         [149, 125, 144]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\hansandersenmf\pic_78.jpeg
153,"tensor([[[209, 203, 205],
         [207, 200, 201],
         [200, 191, 191],
         ...,
         [220, 244, 244],
         [222, 244, 248],
         [224, 244, 250]],

        [[212, 204, 204],
         [210, 202, 200],
         [204, 195, 191],
         ...,
         [220, 244, 244],
         [222, 244, 248],
         [224, 244, 250]],

        [[205, 196, 192],
         [201, 192, 187],
         [196, 187, 180],
         ...,
         [221, 245, 245],
         [223, 245, 248],
         [224, 245, 250]],

        ...,

        [[ 68,  44,  61],
         [ 79,  50,  62],
         [ 85,  50,  57],
         ...,
         [198, 165, 144],
         [212, 182, 165],
         [197, 175, 155]],

        [[ 57,  37,  57],
         [ 57,  32,  46],
         [ 72,  41,  51],
         ...,
         [199, 161, 151],
         [207, 175, 167],
         [188, 166, 153]],

        [[ 64,  46,  70],
         [ 65,  42,  60],
         [ 73,  46,  58],
         ...,
         [197, 154, 152],
         [188, 156, 153],
         [188, 172, 160]]], dtype=torch.uint8)",Female,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\brittbager\pic_7.jpeg
154,"tensor([[[ 49,  45,  38],
         [ 46,  41,  35],
         [ 45,  40,  34],
         ...,
         [103, 103,  89],
         [107, 108,  92],
         [107, 108,  90]],

        [[ 48,  43,  37],
         [ 44,  39,  33],
         [ 46,  41,  35],
         ...,
         [ 87,  83,  71],
         [ 92,  89,  76],
         [ 95,  92,  77]],

        [[ 46,  41,  35],
         [ 45,  39,  33],
         [ 50,  43,  36],
         ...,
         [ 56,  49,  40],
         [ 60,  54,  45],
         [ 65,  59,  51]],

        ...,

        [[127, 100,  81],
         [123,  96,  77],
         [127, 100,  82],
         ...,
         [157, 125, 124],
         [160, 132, 131],
         [158, 131, 129]],

        [[131, 104,  85],
         [127, 100,  81],
         [134, 107,  88],
         ...,
         [172, 139, 139],
         [169, 139, 139],
         [163, 134, 133]],

        [[134, 107,  86],
         [127, 100,  81],
         [130, 103,  84],
         ...,
         [180, 146, 147],
         [173, 140, 141],
         [165, 134, 133]]], dtype=torch.uint8)",Male,m,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\bbbrandenborg\pic_44.jpeg
155,"tensor([[[ 25,  24,  29],
         [ 26,  25,  30],
         [ 28,  27,  32],
         ...,
         [160, 149, 134],
         [165, 155, 142],
         [167, 157, 145]],

        [[ 25,  24,  29],
         [ 25,  24,  29],
         [ 24,  23,  28],
         ...,
         [158, 147, 131],
         [165, 155, 142],
         [165, 155, 143]],

        [[ 26,  25,  30],
         [ 10,   9,  14],
         [  2,   1,   6],
         ...,
         [161, 151, 134],
         [160, 150, 137],
         [163, 153, 141]],

        ...,

        [[108,  71,  47],
         [116,  79,  60],
         [121,  88,  52],
         ...,
         [164, 121,  89],
         [130,  88,  66],
         [141,  95,  75]],

        [[ 94,  56,  37],
         [118,  81,  64],
         [120,  87,  53],
         ...,
         [158, 113,  83],
         [110,  68,  52],
         [138,  91,  75]],

        [[ 89,  57,  41],
         [ 63,  38,  31],
         [121,  88,  71],
         ...,
         [117,  69,  54],
         [144,  96,  76],
         [126,  79,  60]]], dtype=torch.uint8)",Female,f,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\pernillevermund\pic_132.jpeg
156,"tensor([[[147, 115,  92],
         [131, 104,  79],
         [128,  96,  73],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        [[175, 143, 120],
         [149, 119,  95],
         [148, 113,  91],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        [[177, 145, 122],
         [176, 140, 118],
         [173, 138, 116],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        ...,

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]],

        [[  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0],
         ...,
         [  0,   0,   0],
         [  0,   0,   0],
         [  0,   0,   0]]], dtype=torch.uint8)",Female,w,C:\Users\August\OneDrive - Københavns Universitet\Documents\Uni\Kandidat i Statskundskab\Speciale\kode\posts\mette.thiesen\pic_183.jpeg
